birthdate,playerjerseyname,def,longshots,volleys,contractvaliduntil,balance,shotpower,defensiveawareness,height,longpassing,standingtackle,crossing,nationality,status,gender,curve,slidingtackle,gkreflexes,finishing,surname,lastnameid,leaguename,aggression,gkpositioning,sprintspeed,headingaccuracy,fullNameForSearch,reactions,ranking,overall_rating,phy,penalties,strength,skillmoves,stamina,weakfootabilitytypecode,ballcontrol,gkhandling,acceleration,pac,teamid,hasphoto,dri,potential,pas,weight,preferredfoot,freekickaccuracy,vision,leagueid,sho,agility,firstname,playerjerseynameid,composure,jumping,gkkicking,preferredposition1label,defensiveworkrate,dribbling,preferredposition1,positioning,attackingworkrate,preferredposition3,iteration,preferredposition2,preferredposition2label,preferredposition4,gkdiving,firstnameid,interceptions,shortpassing,teamname,primaryKey
2/4/1994 0:00,Alexia,72,90,90,2024,78,81,60,173,91,82,87,45,published,1,89,64,10,94,Putellas Segura,27659,International Women,58,15,78,74,Alexia Putellas Segura,95,1,92,75,91,75,5,90,4,94,17,82,80,113012,True,91,92,92,67,2,89,95,2136,90,76,Alexia,1403,91,75,11,CM,0,93,14,96,2,-1,fifa-23-womens-sep30-2,27,LW,-1,15,1403,79,95,Spain Women,227203
9/10/1993 0:00,Kerr,42,89,92,2024,82,91,44,168,55,39,80,195,published,1,76,35,13,93,Kerr,17872,England Barclays WSL (1),70,16,85,91,Sam Kerr,93,2,91,83,79,86,4,87,4,92,12,89,87,116010,True,90,91,75,66,1,69,83,2216,91,90,Sam,17872,92,91,8,ST,2,90,25,95,2,-1,fifa-23-womens-sep30-2,-1,,-1,7,29874,24,78,Chelsea,227125
7/20/1990 0:00,Renard,93,65,55,2026,34,85,93,187,87,94,51,18,published,1,65,91,15,70,Renard,28543,France Division 1 Feminine (1),88,11,66,96,Wendie Renard,90,3,91,87,75,93,2,75,3,85,14,68,67,116033,True,72,91,71,70,1,58,59,2218,72,53,Wendie,28543,84,86,17,CB,0,69,5,70,2,-1,fifa-23-womens-sep30-2,-1,,-1,7,35451,90,84,Olympique Lyonnais,227316
7/10/1995 0:00,Hegerberg,39,89,90,2024,47,86,42,176,72,33,71,36,published,1,79,29,14,94,Hegerberg,13920,France Division 1 Feminine (1),65,10,86,93,Ada Hegerberg,93,4,91,77,86,81,4,75,4,91,7,83,85,116033,True,87,92,77,68,1,75,76,2218,91,74,Ada,13920,86,89,12,ST,0,91,25,96,2,-1,fifa-23-womens-sep30-2,-1,,-1,15,436,23,84,Olympique Lyonnais,227310
11/1/1998 0:00,Katoto,39,87,91,2025,68,86,37,177,70,35,71,18,published,1,71,29,8,93,Katoto,17643,France Division 1 Feminine (1),44,14,88,92,Marie Katoto,90,5,90,74,82,81,4,82,4,89,12,89,88,116034,True,86,94,78,66,1,69,79,2218,90,80,Marie,17643,85,86,11,ST,0,86,25,94,2,-1,fifa-23-womens-sep30-2,-1,,-1,14,21853,27,87,Paris Saint-Germain,246272
10/28/1991 0:00,Bronze,88,86,66,2024,82,85,89,171,80,91,87,14,published,1,88,89,15,73,Bronze,5053,International Women,82,8,89,82,Lucy Bronze,89,6,90,89,62,90,3,90,3,85,14,89,89,113002,True,83,90,82,65,1,81,73,2136,77,86,Lucy,5053,86,92,16,RB,2,79,3,73,2,-1,fifa-23-womens-sep30-2,-1,,-1,10,20590,85,85,England Women,227246
7/2/1989 0:00,Morgan,43,83,87,2027,67,88,34,170,67,29,71,95,published,1,68,27,11,95,Morgan,23675,International Women,53,10,84,86,Alex Morgan,93,7,90,72,88,77,4,75,4,93,11,83,84,113009,True,87,90,75,62,2,70,74,2136,91,76,Alex,23675,92,76,10,ST,1,87,25,96,2,-1,fifa-23-womens-sep30-2,-1,,-1,11,1364,63,83,United States Women,226301
2/18/1995 0:00,Graham,48,85,82,2023,75,79,45,178,84,50,93,36,published,1,90,46,9,86,Hansen,13643,International Women,66,13,88,75,Caroline Graham Hansen,89,8,90,75,80,74,5,84,4,92,11,88,88,113007,True,91,90,90,66,1,77,93,2136,84,85,Caroline Graham,12735,84,68,15,RW,0,94,23,88,2,25,fifa-23-womens-sep30-2,18,CAM,-1,17,5928,35,90,Norway Women,227102
7/23/1991 0:00,Endler,40,17,8,2024,42,64,15,183,34,11,15,55,published,1,17,12,92,15,Endler,10083,France Division 1 Feminine (1),21,90,35,13,Christiane Endler,86,9,89,90,13,46,1,32,3,22,85,43,89,116033,True,92,89,85,73,2,11,69,2218,85,39,Christiane,10083,45,65,85,GK,0,15,0,10,0,-1,fifa-23-womens-sep30-2,-1,,-1,89,6691,15,27,Olympique Lyonnais,245956
7/15/1996 0:00,Miedema,32,90,90,2023,73,90,22,178,55,30,69,34,published,1,76,23,17,90,Miedema,23009,England Barclays WSL (1),70,14,81,83,Vivianne Miedema,90,10,89,82,75,85,4,87,4,92,16,86,83,116009,True,88,90,71,65,1,78,69,2216,90,80,Vivianne,23009,92,75,17,ST,2,89,25,95,2,-1,fifa-23-womens-sep30-2,-1,,-1,14,34930,27,79,Arsenal,233746
5/9/1995 0:00,Mead,68,85,73,2023,84,86,61,163,79,69,92,14,published,1,81,68,10,92,Mead,22640,England Barclays WSL (1),31,16,81,68,Beth Mead,90,11,88,73,68,84,5,83,4,89,15,80,81,116009,True,87,88,86,58,1,83,90,2216,87,67,Beth,22640,84,74,17,RW,2,91,23,93,2,12,fifa-23-womens-sep30-2,27,LW,-1,11,4021,77,85,Arsenal,245802
4/1/1995 0:00,Diani,53,82,74,2023,85,76,42,168,74,59,84,18,published,1,72,51,13,87,Diani,8617,France Division 1 Feminine (1),52,15,91,70,Kadidiatou Diani,87,12,88,74,71,82,4,81,4,90,7,89,90,116034,True,88,88,82,64,1,65,85,2218,83,89,Kadidiatou,8617,84,53,7,RW,2,88,23,91,2,-1,fifa-23-womens-sep30-2,-1,,-1,15,17234,55,87,Paris Saint-Germain,227361
6/13/1995 0:00,Maria Leon,91,59,49,2024,75,51,94,169,90,90,86,45,published,1,63,90,12,61,Leon Cebrian,19913,International Women,88,14,79,87,Maria Pilar Leon Cebrian,94,13,88,78,64,75,2,75,3,91,8,77,78,113012,True,77,90,80,61,2,75,56,2136,58,75,Maria Pilar,22110,70,76,11,CB,0,68,5,59,2,-1,fifa-23-womens-sep30-2,7,LB,-1,12,22111,91,90,Spain Women,236479
